os,cpu,gpu,ram,kernel,driver,cpuscheduler
Arch Linux,AMD Ryzen 7 5700X 8-Core Processor,AMD Radeon RX 7900 GRE (RADV NAVI31),49249928,6.11.9-arch1-1,,performance
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,elapsed
119.914,8.33932,7.90816,100,57,65,2261,1073,4.89572,240,3.82286,0,0.0518723,467893627
120.349,8.30916,7.90816,100,57,65,2261,1073,4.89572,240,3.82286,0,0.0518723,568016552
119.858,8.34318,7.90816,100,57,65,2261,1073,4.89572,240,3.82286,0,0.0518723,668091967
118.119,8.46604,7.90816,100,57,65,2261,1073,4.89572,240,3.82286,0,0.0518723,768170571
115.72,8.64159,7.90816,100,57,65,2261,1073,4.89572,240,3.82286,0,0.0518723,868247236
116.725,8.56713,8.33333,100,57,65,2264,1124,4.89572,243,3.82598,0,0.0518723,968324151
117.595,8.50377,8.33333,100,57,65,2264,1124,4.89572,243,3.82598,0,0.0518723,1068400556
117.934,8.47933,8.33333,100,57,65,2264,1124,4.89572,243,3.82598,0,0.0518723,1168477261
119.996,8.33364,8.33333,100,57,65,2264,1124,4.89572,243,3.82598,0,0.0518723,1268555776
120.572,8.29379,8.33333,100,57,65,2264,1124,4.89572,243,3.82598,0,0.0518723,1368632231
119.433,8.3729,9.20398,100,56,66,2255,1124,4.89572,244,3.82574,0,0.0518723,1468707856
119.542,8.36526,9.20398,100,56,66,2255,1124,4.89572,244,3.82574,0,0.0518723,1568785141
116.783,8.56293,9.20398,100,56,66,2255,1124,4.89572,244,3.82574,0,0.0518723,1668861535
117.804,8.48864,9.20398,100,56,66,2255,1124,4.89572,244,3.82574,0,0.0518723,1768940640
119.612,8.36035,9.20398,100,56,66,2255,1124,4.89572,244,3.82574,0,0.0518723,1869019275
117.321,8.52363,11.8602,100,56,66,2248,1124,4.89572,243,3.82441,0,0.0518723,1969100760
118.924,8.40874,11.8602,100,56,66,2248,1124,4.89572,243,3.82441,0,0.0518723,2069185465
118.412,8.44506,11.8602,100,56,66,2248,1124,4.89572,243,3.82441,0,0.0518723,2169276980
119.542,8.36528,11.8602,100,56,66,2248,1124,4.89572,243,3.82441,0,0.0518723,2269385415
118.3,8.45306,11.8602,100,56,66,2248,1124,4.89572,243,3.82441,0,0.0518723,2369462660
119.566,8.36357,13.3416,100,56,66,2263,1124,4.89572,244,3.82122,0,0.0518723,2469538354
118.492,8.43939,13.3416,100,56,66,2263,1124,4.89572,244,3.82122,0,0.0518723,2569616359
119.784,8.34834,13.3416,100,56,66,2263,1124,4.89572,244,3.82122,0,0.0518723,2669695084
118.72,8.4232,13.3416,100,56,66,2263,1124,4.89572,244,3.82122,0,0.0518723,2769772299
119.102,8.39616,13.3416,100,56,66,2263,1124,4.89572,244,3.82122,0,0.0518723,2869853164
115.803,8.63536,9.75309,100,55,67,2255,1124,4.89572,243,3.815,0,0.0518723,2969947469
119.745,8.35105,9.75309,100,55,67,2255,1124,4.89572,243,3.815,0,0.0518723,3070025134
118.83,8.41541,9.75309,100,55,67,2255,1124,4.89572,243,3.815,0,0.0518723,3170101679
119.385,8.37626,9.75309,100,55,67,2255,1124,4.89572,243,3.815,0,0.0518723,3270179014
117.976,8.47626,9.75309,100,55,67,2255,1124,4.89572,243,3.815,0,0.0518723,3370253948
118.811,8.41675,9.50617,100,55,67,2264,1124,4.89182,244,3.80721,0,0.0518723,3470329863
118.493,8.43935,9.50617,100,55,67,2264,1124,4.89182,244,3.80721,0,0.0518723,3570410508
118.487,8.43972,9.50617,100,55,67,2264,1124,4.89182,244,3.80721,0,0.0518723,3670499073
119.197,8.38949,9.50617,100,55,67,2264,1124,4.89182,244,3.80721,0,0.0518723,3770579208
118.985,8.40442,9.50617,100,55,67,2264,1124,4.89182,244,3.80721,0,0.0518723,3870659703
119.401,8.37517,9.65347,100,54,67,2236,1124,4.89182,244,3.81191,0,0.0518723,3970738768
119.086,8.39729,9.65347,100,54,67,2236,1124,4.89182,244,3.81191,0,0.0518723,4070814053
119.193,8.38972,9.65347,100,54,67,2236,1124,4.89182,244,3.81191,0,0.0518723,4170890097
120.057,8.32938,9.65347,100,54,67,2236,1124,4.89182,244,3.81191,0,0.0518723,4270968822
119.224,8.38756,9.65347,100,54,67,2236,1124,4.89182,244,3.81191,0,0.0518723,4371049467
117.032,8.54465,8.96638,100,54,67,2273,1124,4.89182,246,3.81093,0,0.0518723,4471135562
119.508,8.36767,8.96638,100,54,67,2273,1124,4.89182,246,3.81093,0,0.0518723,4571215247
118.98,8.40476,8.96638,100,54,67,2273,1124,4.89182,246,3.81093,0,0.0518723,4671294452
118.658,8.42758,8.96638,100,54,67,2273,1124,4.89182,246,3.81093,0,0.0518723,4771374297
119.345,8.37908,8.96638,100,54,67,2273,1124,4.89182,246,3.81093,0,0.0518723,4871461222
118.82,8.41607,8.86392,99,54,67,2269,1124,4.89182,243,3.80825,0,0.0518723,4971542176
119.782,8.34848,8.86392,99,54,67,2269,1124,4.89182,243,3.80825,0,0.0518723,5071618441
118.26,8.45595,8.86392,99,54,67,2269,1124,4.89182,243,3.80825,0,0.0518723,5171695516
118.171,8.46231,8.86392,99,54,67,2269,1124,4.89182,243,3.80825,0,0.0518723,5271771431
119.029,8.40129,8.86392,99,54,67,2269,1124,4.89182,243,3.80825,0,0.0518723,5371851746
117.039,8.54418,8.5,100,53,67,2234,1124,4.89182,243,3.81044,0,0.0518723,5471929421
117.43,8.51573,8.5,100,53,67,2234,1124,4.89182,243,3.81044,0,0.0518723,5572005256
119.713,8.35332,8.5,100,53,67,2234,1124,4.89182,243,3.81044,0,0.0518723,5672082551
118.617,8.43048,8.5,100,53,67,2234,1124,4.89182,243,3.81044,0,0.0518723,5772160775
119.169,8.39141,8.5,100,53,67,2234,1124,4.89182,243,3.81044,0,0.0518723,5872239600
116.596,8.57662,8.63579,100,53,67,2256,1124,4.89182,240,3.81353,0,0.0518723,5972316275
118.013,8.47367,8.63579,100,53,67,2256,1124,4.89182,240,3.81353,0,0.0518723,6072390630
119.958,8.33627,8.63579,100,53,67,2256,1124,4.89182,240,3.81353,0,0.0518723,6172469205
119.9,8.34025,8.63579,100,53,67,2256,1124,4.89182,240,3.81353,0,0.0518723,6272548480
118.618,8.43046,8.63579,100,53,67,2256,1124,4.89182,240,3.81353,0,0.0518723,6372625815
119.334,8.37983,8.60349,100,53,68,2263,1124,4.89182,244,3.81127,0,0.0518723,6472722870
119.789,8.348,8.60349,100,53,68,2263,1124,4.89182,244,3.81127,0,0.0518723,6572801015
118.97,8.40547,8.60349,100,53,68,2263,1124,4.89182,244,3.81127,0,0.0518723,6672883569
117.5,8.5106,8.60349,100,53,68,2263,1124,4.89182,244,3.81127,0,0.0518723,6772963894
120.184,8.32059,8.60349,100,53,68,2263,1124,4.89182,244,3.81127,0,0.0518723,6873042739
