os,cpu,gpu,ram,kernel,driver,cpuscheduler
Arch Linux,AMD Ryzen 7 5700X 8-Core Processor,AMD Radeon RX 7900 GRE (RADV NAVI31),49249932,6.11.9-arch1-1,,performance
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,elapsed
123.014,8.12916,9.68554,100,51,56,2256,1230,4.73151,243,3.15548,0,0.0378876,442470856
121.473,8.23231,9.68554,100,51,56,2256,1230,4.73151,243,3.15548,0,0.0378876,542596158
120.809,8.2775,9.68554,100,51,56,2256,1230,4.73151,243,3.15548,0,0.0378876,642674140
122.707,8.14952,9.68554,100,51,56,2256,1230,4.73151,243,3.15548,0,0.0378876,742749263
121.39,8.23793,9.68554,100,51,56,2256,1230,4.73151,243,3.15548,0,0.0378876,842832255
119.427,8.37334,13.367,100,51,56,2235,1230,4.74632,243,3.14313,0,0.0378876,942876187
119.473,8.37007,13.367,100,51,56,2235,1230,4.74632,243,3.14313,0,0.0378876,1042954950
120.244,8.31644,13.367,100,51,56,2235,1230,4.74632,243,3.14313,0,0.0378876,1143031292
120.47,8.30081,13.367,100,51,56,2235,1230,4.74632,243,3.14313,0,0.0378876,1243108184
119.75,8.35072,13.367,100,51,56,2235,1230,4.74632,243,3.14313,0,0.0378876,1343186147
119.99,8.33404,9.97506,100,50,56,2234,1230,4.73222,243,3.14042,0,0.0378876,1443265269
120.017,8.33214,9.97506,100,50,56,2234,1230,4.73222,243,3.14042,0,0.0378876,1543341911
119.496,8.36849,9.97506,100,50,56,2234,1230,4.73222,243,3.14042,0,0.0378876,1643419704
120.167,8.32176,9.97506,100,50,56,2234,1230,4.73222,243,3.14042,0,0.0378876,1743499206
122.05,8.19337,9.97506,100,50,56,2234,1230,4.73222,243,3.14042,0,0.0378876,1843578048
118.169,8.46246,10.8776,100,50,57,2224,1230,4.73222,241,3.14206,0,0.0378876,1943659091
121.057,8.26054,10.8776,100,50,57,2224,1230,4.73222,241,3.14206,0,0.0378876,2043740253
120.621,8.29042,10.8776,100,50,57,2224,1230,4.73222,241,3.14206,0,0.0378876,2143820946
119.956,8.33639,10.8776,100,50,57,2224,1230,4.73222,241,3.14206,0,0.0378876,2243899688
119.59,8.36193,10.8776,100,50,57,2224,1230,4.73222,241,3.14206,0,0.0378876,2343979380
119.937,8.33769,8.9172,100,50,57,2223,1230,4.73222,243,3.14497,0,0.0378876,2444061423
120.159,8.3223,8.9172,100,50,57,2223,1230,4.73222,243,3.14497,0,0.0378876,2544137795
119.987,8.33422,8.9172,100,50,57,2223,1230,4.73222,243,3.14497,0,0.0378876,2644216757
120.706,8.28462,8.9172,100,50,57,2223,1230,4.73222,243,3.14497,0,0.0378876,2744295070
122.398,8.17009,8.9172,100,50,57,2223,1230,4.73222,243,3.14497,0,0.0378876,2844373272
117.777,8.49061,13.9064,100,49,57,2229,1230,4.73222,243,3.15065,0,0.0378876,2944449484
120.06,8.32917,13.9064,100,49,57,2229,1230,4.73222,243,3.15065,0,0.0378876,3044526347
121.149,8.25432,13.9064,100,49,57,2229,1230,4.73222,243,3.15065,0,0.0378876,3144602309
121.006,8.26408,13.9064,100,49,57,2229,1230,4.73222,243,3.15065,0,0.0378876,3244679781
